text,labels
what do i need to do to change to the gold account,ACCOUNT
how canI change order {{Order Number}}?,ORDER
can  uhelp me canceling order {{Order Number}},ORDER
I do not know how I could ask for goddamn refunds,REFUND
assistance to check youe money back guarantee,REFUND
"I cannot remember my user key, I want to reset it",ACCOUNT
where can i fiond information about a pro account removal,ACCOUNT
I need help making  a purchase,ORDER
i want assistance to notify of an error with signup,ACCOUNT
problem with premium account deletions,ACCOUNT
what do I have to do to see when will my article arrive?,DELIVERY
create new premium account,ACCOUNT
want assistanfe to shop several damn articles,ORDER
"I cannot remember my profile PIN code, how to reset it?",ACCOUNT
I do not know how to reset my user profile PIN code,ACCOUNT
wanna switch to th {{Account Category}} account could uhelp me,ACCOUNT
"I want to check the goddamn rebate status, how to do it?",REFUND
problem with creatingmy {{Account Type}} account,ACCOUNT
refunding {{Currency Symbol}}{{Refund Amount}},REFUND
can I see in which cases can I ask to be refunded?,REFUND
I want help to see if there are any news on the compensation,REFUND
i dont know how to change to the {{Account Type}} account,ACCOUNT
correcting data on {{Account Type}} accoujnt,ACCOUNT
help  me canceling purchase {{Order Number}},ORDER
help recovering the password of my profile,ACCOUNT
I need assistance canceling purchase {{Order Number}},ORDER
show ur money back policcy,REFUND
help me to see your available payment modalities,PAYMENT
can I pay with PayPal?,PAYMENT
help checking the eta of order {{Order Number}},ORDER
where can I cancel order {{Order Number}}?,ORDER
updating {{Account Category}} accojnt,ACCOUNT
where to check what methods for delivery are available?,DELIVERY
want assistance cancelling a {{Account Type}} account,ACCOUNT
update inforemation on premium account,ACCOUNT
I am looking for information about a password retrieval,ACCOUNT
open another premium account,ACCOUNT
I want assistance to cancel order {{Order Number}},ORDER
I don't know how I can create a freemium account,ACCOUNT
assistance restoring the access key of my profile,ACCOUNT
what do I need to do to acquire an item?,ORDER
can you help me seeing in what cases can I request a refund?,REFUND
assistance reporting issues with sign-up,ACCOUNT
I want to obtain a reimbursement of money,REFUND
help me to check the ETA of the order {{Order Number}},ORDER
how long till I obtain a refund of money?,REFUND
reporting registration issue,ACCOUNT
where can I see when my item is going to arrive?,DELIVERY
I need help seeing what options for delivery you offer,DELIVERY
I need help to order some articles,ORDER
have problems with the deletion of my gold account,ACCOUNT
assistance cancelling purchase {{Order Number}},ORDER
edit info on platinum account,ACCOUNT
i do not know how to recover the pin of my user profile,ACCOUNT
i expect a refund of {{Refund Amount}} dollars,REFUND
is it possible to create a standard account?,ACCOUNT
where do I see what payment methods are accepted?,PAYMENT
have a problem with the removal of my {{Account Type}} account,ACCOUNT
check the current status of my rebate,REFUND
check order {{Order Number}} status,ORDER
need to buy a few of ur item,ORDER
where do i see if there is anything new on my compensation,REFUND
I want assistance to update the information on my profile,ACCOUNT
problem with {{Account Type}} account cancellations,ACCOUNT
help to shop a bloody product,ORDER
deliveries to {{Delivery Country}},DELIVERY
checking current status of order {{Order Number}},ORDER
"I have got to see the shipment options, I need help",DELIVERY
need help seeing when my packageis going to arrive,DELIVERY
assistance to see my compensation status,REFUND
can I check in what cases can I ask to be reimbursed?,REFUND
help me to change to the {{Account Category}} account,ACCOUNT
canceling gold account,ACCOUNT
help me to check the ETA of the order {{Order Number}},ORDER
I need assistance to inform of a problem with payments,PAYMENT
is it possible to notify of sign-up errors?,ACCOUNT
i want help to open a {{Account Category}} account for my dad,ACCOUNT
help me to see in what situations can i request a refund,REFUND
i have to shop several articles,ORDER
I have a question about the deletion of my standard account,ACCOUNT
do you ship  to {{Delivery Country}}?,DELIVERY
check your money back policy,REFUND
I need help reporting a problem with payment,PAYMENT
how do i notify of a sign-up isse,ACCOUNT
I don't know how to switch to the {{Account Type}} account,ACCOUNT
I'd like to dad an item to purchase {{Order Number}},ORDER
help to list the payment emthods,PAYMENT
would it be possible to see what shipping options are there?,DELIVERY
need to see the damn eta of the purchase {{Order Number}} help me,ORDER
need to see the ETA of purchase {{Order Number}} how to do it,ORDER
I'm waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},REFUND
show me estimated time of arrival of order {{Order Number}},ORDER
I am trying to find information about a {{Account Type}} account removal,ACCOUNT
cancel {{Account Type}} acount,ACCOUNT
I would like to ask for compensations,REFUND
I want assistance to open a {{Account Category}} account for my fiance,ACCOUNT
"I have paid {{Currency Symbol}}{{Refund Amount}} for an order, how oculd I receive a refund?",REFUND
I want help listing your accepted payment methods,PAYMENT
assistance to see in which situations can i request refunds,REFUND
what do i need to do to change to the {{Account Type}} account,ACCOUNT
editing details on {{Account Category}} account,ACCOUNT
I have to see the allowed payment modalities,PAYMENT
i expecdt a refund of {{Refund Amount}} dollars,REFUND
help to notify of errors with online payments,PAYMENT
I'd like to update the fucking data on my user profile,ACCOUNT
is it possible to report an error with registrations,ACCOUNT
help using the standard account,ACCOUNT
editing data on pro account,ACCOUNT
can I open a gold account for my daughter?,ACCOUNT
I do not know how I can inform of problems with signuo,ACCOUNT
i want help seeing in what cases can i ask to be refunded,REFUND
i want help changing an item of order {{Order Number}},ORDER
what do i have to do to delete a {{Account Category}} account,ACCOUNT
can you help me reporting a registration issue?,ACCOUNT
I do not know what to do to report an error with payments,PAYMENT
i paid {{Currency Symbol}}{{Refund Amount}} for this order want help getting an rebate,REFUND
is it possible to remove my {{Account Category}} account ?,ACCOUNT
I want assistance informing of a payment issue,PAYMENT
help to retrieve my user PIN,ACCOUNT
do you shp to {{Delivery City}}?,DELIVERY
can you help me using the {{Account Type}} profile?,ACCOUNT
can you help me to ask for damn restitutions of money?,REFUND
reimburse {{Refund Amount}} dollar,REFUND
close {{Account Type}} account,ACCOUNT
need assistance to see how soon can I expect my order,DELIVERY
I have to know if there is anything wrong with the rebate,REFUND
where do i inform of a trouble with payments,PAYMENT
I am looking for information about opening a {{Account Type}} account,ACCOUNT
i hasve got to update purchase {{Order Number}},ORDER
need to switch to the {{Account Type}} account,ACCOUNT
where can I shop several of your article?,ORDER
I can no longer pay for order {{Order Number}},ORDER
help me notifying of a sign-up problem,ACCOUNT
closing premium account,ACCOUNT
I have got to ask for refunds,REFUND
I want assistance to cancle purchase {{Order Number}},ORDER
i expect a compensqtion of {{Refund Amount}} dollars,REFUND
I need to change some articles of order {{Order Number}},ORDER
i dont know how i could delpete the goddamn {{Account Type}} account,ACCOUNT
reporting troubles with online payment,PAYMENT
is it possible to notify of an issue with signup,ACCOUNT
i have got to check what shipment options are available,DELIVERY
help to notify of payment issues,PAYMENT
I can't afford purchase {{Order Number}},ORDER
i do not know how to create a {{Account Type}} account for my dad,ACCOUNT
can you help me seeing your available payment options?,PAYMENT
help to delete some itmes from purchase {{Order Number}},ORDER
i expect a compensation of {{Refund Amount}} dollars,REFUND
help me to reset the pass of my user account,ACCOUNT
switch to  premium account,ACCOUNT
what do i have to do to request restitutions of money,REFUND
help me modifying order {{Order Number}},ORDER
"I want to check what payment methods are allowed, help me",PAYMENT
I need help to obtain compensations of money,REFUND
is it possible to restore my user PIN?,ACCOUNT
how can I reset the goddamn access key of my profile?,ACCOUNT
reimbursing {{Currency Symbol}}{{Refund Amount}},REFUND
assistance to check the reimbursement status,REFUND
I want to see when my purchase is going to arrive,DELIVERY
assistance to switch an item of purchase {{Order Number}},ORDER
I want to retrieve the password of my user account,ACCOUNT
i dont know how to track my refund,REFUND
problems with canceling purchase {{Order Number}},ORDER
I have to see what shipping options you offer,DELIVERY
is it possible toorder from {{Delivery City}},DELIVERY
i bought some damn item help to cancep order {{Order Number}},ORDER
I want assistance restoring my profile PIN code,ACCOUNT
I am waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},REFUND
"I want to see how soon can I expect the order, how to do it?",DELIVERY
I have got to see how long refunds take,REFUND
rebate {{Refund Amount}} dollars,REFUND
want assistance canceling order {{Order Number}},ORDER
I do not know how to get refunds of my money,REFUND
I'm trying to retrieve the password of my profile,ACCOUNT
can uhelpp me to order some of ur product,ORDER
i need assistance to remove the platinum account,ACCOUNT
I try to check the available payment modalities,PAYMENT
i need assistance to report problems with online payments,PAYMENT
"I want to see the allowed payment methods, can you help me?",PAYMENT
"I need to track purchase {{Order Number}}, how to do it?",ORDER
I want help to receive refunds of money,REFUND
"I have got to see your money back policy, how can I do it?",REFUND
I do not know what to do to acquire a few of your product,ORDER
can you help me to see the compensation current status?,REFUND
see in what cases can I request a reimbursement,REFUND
can i see the eta of the order {{Order Number}},ORDER
i cannot switch to the standard account,ACCOUNT
give me information about the shipping methods,DELIVERY
creating new pro account,ACCOUNT
i need assistance asking for a compensation of my money,REFUND
where do I restore the password of my user profile?,ACCOUNT
i need assistance removing my pro account,ACCOUNT
i do notknow what to do to locate order {{Order Number}},ORDER
i do not know how to acquire several of ur product,ORDER
"I have got to cancel purchase {{Order Number}}, help me",ORDER
i have got to edit the details included on my profile,ACCOUNT
where to see the status of my rebate,REFUND
how to track order {{Order Number}}?,ORDER
I try to see in which cases can I request a refund,REFUND
i dont know how i can check what delivery methods i have,DELIVERY
I don't want purchase {{Order Number}},ORDER
i want help correcting the information on my profile,ACCOUNT
question about opening user profiles,ACCOUNT
I want to inform of problems with a registration,ACCOUNT
could you help me to report an error with online payment?,PAYMENT
"I need to see what shipment options are available, help me",DELIVERY
I expect a compensation of {{Refund Amount}} dollars,REFUND
is it possible to acquire an article?,ORDER
I can't check if there is anything new on the compensation,REFUND
help to use the pro profile,ACCOUNT
wanna see how long it takes for my purchase to arrive,DELIVERY
need help informing of rergistration errors,ACCOUNT
can uhelp me check the bloody allowed paymentmethods,PAYMENT
changing info on freeaccount,ACCOUNT
