ticket_id,text,labels
t00000,Can't connect to network can't see my account asap please forgot my password. Any guidance appreciated.,urgent;account;network;login
t00001,My account is locked application won't open. I would appreciate help.,account;software
t00002,I was double-billed. Thanks in advance.,billing
t00003,The app crashes. Any guidance appreciated.,software
t00004,I was double-billed. I would appreciate help.,billing
t00005,Application won't open please return the money. Please advise.,refund;software
t00006,Can't connect to network. Please advise.,network
t00007,Account issue login error. I would appreciate help.,account;login
t00008,Asap please please return the money. Please advise.,urgent;refund
t00009,Hardware problem account issue. I would appreciate help.,account;hardware
t00010,I'm not happy. Any guidance appreciated.,complaint
t00011,Can't log in. Any guidance appreciated.,login
t00012,I need my money back hardware problem software update failed i'm not happy. Please advise.,refund;complaint;hardware;software
t00013,Hardware problem my invoice is wrong. Please advise.,billing;hardware
t00014,My laptop won't turn on this is urgent. Please advise.,urgent;hardware
t00015,Hardware problem i want to complain. Thanks in advance.,complaint;hardware
t00016,Asap please forgot my password account issue my invoice is wrong my laptop won't turn on. Any guidance appreciated.,billing;urgent;account;hardware;login
t00017,Application won't open. Looking forward to your reply.,software
t00018,I want a refund software bug. Thanks in advance.,refund;software
t00019,Application won't open i was double-billed. I would appreciate help.,billing;software
t00020,This is urgent account issue. Thanks in advance.,urgent;account
t00021,I was double-billed this is a complaint. Any guidance appreciated.,billing;complaint
t00022,Software update failed refund my last charge. Please advise.,refund;software
t00023,I'm not happy. Thanks in advance.,complaint
t00024,Account issue i was double-billed. Looking forward to your reply.,billing;account
t00025,My account is locked forgot my password. I would appreciate help.,account;login
t00026,My invoice is wrong. Any guidance appreciated.,billing
t00027,The app crashes. What should I do?,software
t00028,Software bug. Any guidance appreciated.,software
t00029,Compromised account. What should I do?,security
t00030,This is urgent my invoice is wrong. Looking forward to your reply.,billing;urgent
t00031,Critical issue. Please advise.,urgent
t00032,Question about my bill account settings problem. Any guidance appreciated.,billing;account
t00033,Critical issue. I would appreciate help.,urgent
t00034,Terrible service. Any guidance appreciated.,complaint
t00035,Need this fixed now application won't open. Looking forward to your reply.,urgent;software
t00036,I need my money back. Please advise.,refund
t00037,Screen is broken. Please advise.,hardware
t00038,Forgot my password my account is locked. What should I do?,account;login
t00039,Need this fixed now question about my bill wi-fi is down. Please advise.,billing;urgent;network
t00040,Asap please i want a refund. What should I do?,urgent;refund
t00041,Critical issue. I would appreciate help.,urgent
t00042,I want to complain. Looking forward to your reply.,complaint
t00043,Keyboard not working. Thanks in advance.,hardware
t00044,I was double-billed account issue forgot my password. Looking forward to your reply.,billing;account;login
t00045,Screen is broken. Looking forward to your reply.,hardware
t00046,Security alert. Please advise.,security
t00047,Software bug login error my invoice is wrong. Any guidance appreciated.,billing;software;login
t00048,Keyboard not working terrible service. I would appreciate help.,complaint;hardware
t00049,Asap please i want to complain account settings problem. Any guidance appreciated.,urgent;account;complaint
t00050,Can't log in software bug. I would appreciate help.,software;login
t00051,Vpn won't connect can't see my account. Any guidance appreciated.,account;network
t00052,Account settings problem billing seems off need this fixed now terrible service. Any guidance appreciated.,billing;urgent;account;complaint
t00053,Question about my bill i'm not happy account issue. Thanks in advance.,billing;account;complaint
t00054,Billing seems off terrible service. Any guidance appreciated.,billing;complaint
t00055,Asap please my account is locked my invoice is wrong vpn won't connect. Thanks in advance.,billing;urgent;account;network
t00056,I want to complain. I would appreciate help.,complaint
t00057,I need my money back billing seems off. Looking forward to your reply.,billing;refund
t00058,I think i was hacked. I would appreciate help.,security
t00059,Network keeps dropping. Please advise.,network
t00060,I need my money back. I would appreciate help.,refund
t00061,I was double-billed account issue network keeps dropping keyboard not working. What should I do?,billing;account;hardware;network
t00062,I was double-billed. What should I do?,billing
t00063,Account issue can't connect to network. I would appreciate help.,account;network
t00064,Vpn won't connect software bug. Please advise.,software;network
t00065,My account is locked. What should I do?,account
t00066,Application won't open. I would appreciate help.,software
t00067,Application won't open. Please advise.,software
t00068,Question about my bill. Looking forward to your reply.,billing
t00069,Question about my bill software bug. Looking forward to your reply.,billing;software
t00070,Keyboard not working. Any guidance appreciated.,hardware
t00071,I want a refund. What should I do?,refund
t00072,This is urgent software bug billing seems off. Thanks in advance.,billing;urgent;software
t00073,Asap please. Looking forward to your reply.,urgent
t00074,Application won't open. Any guidance appreciated.,software
t00075,Account issue network keeps dropping i want a refund. Any guidance appreciated.,refund;account;network
t00076,I was double-billed. Please advise.,billing
t00077,I want to complain please return the money suspicious login attempt. Looking forward to your reply.,refund;complaint;security
t00078,My invoice is wrong. Looking forward to your reply.,billing
t00079,Refund my last charge vpn won't connect. Looking forward to your reply.,refund;network
t00080,Account settings problem. Thanks in advance.,account
t00081,Can't log in. I would appreciate help.,login
t00082,Account settings problem this is a complaint. Any guidance appreciated.,account;complaint
t00083,Account settings problem asap please. Any guidance appreciated.,urgent;account
t00084,Can't connect to network account settings problem. What should I do?,account;network
t00085,Account issue this is urgent. Please advise.,urgent;account
t00086,This is urgent refund my last charge. Any guidance appreciated.,urgent;refund
t00087,Software update failed this is urgent wi-fi is down i want to complain. Any guidance appreciated.,urgent;complaint;software;network
t00088,Vpn won't connect. What should I do?,network
t00089,This is a complaint. Please advise.,complaint
t00090,Please return the money network keeps dropping. What should I do?,refund;network
t00091,Account settings problem software update failed. What should I do?,account;software
t00092,Application won't open can't connect to network. Any guidance appreciated.,software;network
t00093,My invoice is wrong wi-fi is down i need my money back. Any guidance appreciated.,billing;refund;network
t00094,Billing seems off refund my last charge asap please. Looking forward to your reply.,billing;urgent;refund
t00095,Application won't open hardware problem. Any guidance appreciated.,hardware;software
t00096,Network keeps dropping. Please advise.,network
t00097,My account is locked. Looking forward to your reply.,account
t00098,Account settings problem i was double-billed. Please advise.,billing;account
t00099,Hardware problem billing seems off. Thanks in advance.,billing;hardware
t00100,Account settings problem. Please advise.,account
t00101,Can't connect to network my account is locked. Thanks in advance.,account;network
t00102,My account is locked. Please advise.,account
t00103,I'm not happy vpn won't connect compromised account critical issue. Thanks in advance.,urgent;complaint;network;security
t00104,Can't connect to network billing seems off this is urgent. What should I do?,billing;urgent;network
t00105,This is urgent. Looking forward to your reply.,urgent
t00106,Need this fixed now can't log in software bug. What should I do?,urgent;software;login
t00107,Software bug my invoice is wrong. Thanks in advance.,billing;software
t00108,Application won't open. Thanks in advance.,software
t00109,Question about my bill. I would appreciate help.,billing
t00110,Critical issue software bug. Thanks in advance.,urgent;software
t00111,Wi-fi is down. I would appreciate help.,network
t00112,Terrible service billing seems off my account is locked. Any guidance appreciated.,billing;account;complaint
t00113,Mfa not working hardware problem application won't open question about my bill account settings problem. Looking forward to your reply.,billing;account;hardware;software;login
t00114,Question about my bill. Please advise.,billing
t00115,Vpn won't connect application won't open forgot my password. I would appreciate help.,software;network;login
t00116,Application won't open. Please advise.,software
t00117,Wi-fi is down can't see my account login error. Thanks in advance.,account;network;login
t00118,Can't see my account i'm not happy forgot my password. Any guidance appreciated.,account;complaint;login
t00119,Question about my bill software update failed refund my last charge forgot my password. I would appreciate help.,billing;refund;software;login
t00120,Critical issue. Please advise.,urgent
t00121,I need my money back i'm not happy application won't open network keeps dropping can't see my account. Looking forward to your reply.,refund;account;complaint;software;network
t00122,Network keeps dropping i need my money back. I would appreciate help.,refund;network
t00123,Mfa not working. Any guidance appreciated.,login
t00124,Can't see my account. Any guidance appreciated.,account
t00125,Refund my last charge can't see my account. Any guidance appreciated.,refund;account
t00126,Application won't open. What should I do?,software
t00127,Account settings problem. Please advise.,account
